title,pubDate,guid,link,description
Pinned down by Russian fire in key frontline village,"Mon, 16 May 2022 12:11:27 GMT",https://www.bbc.co.uk/news/world-europe-61460790,https://www.bbc.co.uk/news/world-europe-61460790?at_medium=RSS&at_campaign=KARANGA,"Quentin Sommerville and cameraman Darren Conway visit the edge of Izyum, where Russians forces are concentrated."
Ukraine round-up: Kharkiv shelling eases but Bucha horrors linger,"Mon, 16 May 2022 20:32:05 GMT",https://www.bbc.co.uk/news/world-europe-61464107,https://www.bbc.co.uk/news/world-europe-61464107?at_medium=RSS&at_campaign=KARANGA,Russian forces make little progress but more war crimes are uncovered.
Ukraine conflict: What is Nato and how can Finland and Sweden join?,"Mon, 16 May 2022 09:00:37 GMT",https://www.bbc.co.uk/news/world-europe-18023383,https://www.bbc.co.uk/news/world-europe-18023383?at_medium=RSS&at_campaign=KARANGA,"Following Russia's invasion of Ukraine, Finland and Sweden have applied to join Nato."
Ukraine war in maps: Tracking the Russian invasion,"Mon, 16 May 2022 11:46:04 GMT",https://www.bbc.co.uk/news/world-europe-60506682,https://www.bbc.co.uk/news/world-europe-60506682?at_medium=RSS&at_campaign=KARANGA,Russian forces making slow progress around Ukraine's eastern Donbas region amid strong Ukrainian resistance.
Mariupol: Ukraine doing everything to save remaining fighters,"Wed, 18 May 2022 02:43:08 GMT",https://www.bbc.co.uk/news/world-europe-61486027,https://www.bbc.co.uk/news/world-europe-61486027?at_medium=RSS&at_campaign=KARANGA,"But Kyiv refuses to say how many soldiers are still trapped, saying such information is ""sensitive""."
Conservative MP arrested on suspicion of rape,"Tue, 17 May 2022 17:22:22 GMT",https://www.bbc.co.uk/news/uk-politics-61487215,https://www.bbc.co.uk/news/uk-politics-61487215?at_medium=RSS&at_campaign=KARANGA,The Metropolitan Police confirm a man is in custody over allegations dating back to the 2000s.
Half of new nurses and midwives come from abroad,"Wed, 18 May 2022 02:22:46 GMT",https://www.bbc.co.uk/news/health-61483358,https://www.bbc.co.uk/news/health-61483358?at_medium=RSS&at_campaign=KARANGA,International recruitment hits record high with nurse leaders warning about sustainability of trend.
"Rangers in Seville: Police say 100,000 fans expected","Tue, 17 May 2022 12:49:39 GMT",https://www.bbc.co.uk/news/uk-scotland-61471267,https://www.bbc.co.uk/news/uk-scotland-61471267?at_medium=RSS&at_campaign=KARANGA,Rangers supporters in the city are expected to outnumber Eintracht Frankfurt fans by two to one.
Amber Heard denies striking Johnny Depp and doctoring photos,"Tue, 17 May 2022 20:10:42 GMT",https://www.bbc.co.uk/news/world-us-canada-61485616,https://www.bbc.co.uk/news/world-us-canada-61485616?at_medium=RSS&at_campaign=KARANGA,"Johnny Depp's lawyer has accused Ms Heard of being ""the jealous one"" in the ex-couple's marriage."
Charles and Camilla visit Canada on royal tour to mark Platinum Jubilee,"Tue, 17 May 2022 21:57:20 GMT",https://www.bbc.co.uk/news/uk-61488202,https://www.bbc.co.uk/news/uk-61488202?at_medium=RSS&at_campaign=KARANGA,The Prince of Wales says he will listen on the issue of the treatment of the indigenous community.
Northern Ireland: Liz Truss sets out new law on post-Brexit trade deal,"Tue, 17 May 2022 16:46:36 GMT",https://www.bbc.co.uk/news/uk-politics-61475899,https://www.bbc.co.uk/news/uk-politics-61475899?at_medium=RSS&at_campaign=KARANGA,"The foreign secretary says the proposed legislation would make changes to the Protocol to resolve the ""grave situation""."
Dallas salon shooting investigated as hate crime,"Tue, 17 May 2022 22:20:16 GMT",https://www.bbc.co.uk/news/world-us-canada-61488553,https://www.bbc.co.uk/news/world-us-canada-61488553?at_medium=RSS&at_campaign=KARANGA,"The suspect in last week's attack has ""panic attacks"" when around people of Asian descent, police say."
Ivan Kuliak: Russian gymnast given one-year ban for wearing pro-war symbol on podium next to Ukrainian,"Tue, 17 May 2022 22:21:23 GMT",https://www.bbc.co.uk/sport/gymnastics/61488161,https://www.bbc.co.uk/sport/gymnastics/61488161?at_medium=RSS&at_campaign=KARANGA,Russian gymnast Ivan Kuliak is given a one-year ban for wearing a national war symbol on the podium at an event in Qatar in March.
Californian court declares law requiring women on boards unconstitutional,"Wed, 18 May 2022 02:37:26 GMT",https://www.bbc.co.uk/news/world-us-canada-61488736,https://www.bbc.co.uk/news/world-us-canada-61488736?at_medium=RSS&at_campaign=KARANGA,"The court said the law, which forced boards to have up to three women directors, was discriminatory."
Billy Sharp: Sheffield United captain assaulted after play-off defeat by Nottingham Forest,"Tue, 17 May 2022 23:59:59 GMT",https://www.bbc.co.uk/sport/football/61488095,https://www.bbc.co.uk/sport/football/61488095?at_medium=RSS&at_campaign=KARANGA,Police are investigating after Sheffield United captain Billy Sharp was assaulted by a fan at the end of their Championship play-off final second leg at Nottingham Forest.
PC fired for not investigating woman's murderer,"Tue, 17 May 2022 20:31:07 GMT",https://www.bbc.co.uk/news/uk-england-london-61488044,https://www.bbc.co.uk/news/uk-england-london-61488044?at_medium=RSS&at_campaign=KARANGA,Abuse allegations were made months before her husband poured petrol on her and set her alight.
Cost of living: Police officers 'struggling' with low pay,"Tue, 17 May 2022 20:38:21 GMT",https://www.bbc.co.uk/news/uk-wales-61487858,https://www.bbc.co.uk/news/uk-wales-61487858?at_medium=RSS&at_campaign=KARANGA,A North Wales Police detective says she has to borrow money from her mother at the end of the month.
The Papers: Tory MP rape arrest and Wagatha husbands 'at war',"Tue, 17 May 2022 23:12:49 GMT",https://www.bbc.co.uk/news/blogs-the-papers-61488582,https://www.bbc.co.uk/news/blogs-the-papers-61488582?at_medium=RSS&at_campaign=KARANGA,The Queen's surprise appearance at London Paddington station also make Wednesday's front pages.
